Target,TargetSignature,TargetCellLine,TargetConcentration,TargetTime,FDA_Phase,PNGF_1M,WT_1M,PNGF_3M,WT_3M
Quercetin,LINCSCP_18459,HCC515,10uM,6h,NA,-0.32388439,NA,0.29405219,NA
CHEMBL3188986,LINCSCP_3691,A375,10uM,24h,NA,-0.3230173,NA,NA,NA
BRD-K54074847,LINCSCP_61355,VCAP,5uM,6h,NA,-0.32282443,NA,0.29511137,NA
BRD-K41700431,LINCSCP_48439,PC3,10uM,24h,NA,-0.32261624,NA,NA,NA
H89,LINCSCP_44025,PC3,10uM,24h,NA,-0.32249806,NA,NA,NA
NU-7441,LINCSCP_116187,HT29,10uM,24h,NA,-0.32248247,NA,NA,NA
Pimavanserin,LINCSCP_173141,YAPC,10uM,24h,4,-0.32232699,NA,NA,NA
Terfenadine,LINCSCP_272399,PC3,10uM,24h,4,-0.32203802,NA,NA,NA
SCHEMBL618594,LINCSCP_38906,MDAMB231,10uM,24h,NA,-0.32180348,NA,NA,NA
DASA-58,LINCSCP_15659,HA1E,90uM,6h,NA,-0.32121524,NA,NA,NA
SCHEMBL2394914,LINCSCP_44729,PC3,10uM,24h,NA,-0.32120795,NA,NA,NA
Dehydroepiandrosterone (DHEA),LINCSCP_173219,YAPC,10uM,24h,NA,-0.32110371,NA,NA,NA
Benzbromarone,LINCSCP_72796,A375,1.11uM,24h,4,-0.3209073,NA,NA,NA
Xylazine,LINCSCP_14556,HA1E,10uM,6h,NA,-0.32061544,NA,0.31682889,NA
"2,8-Dinitroimipramine",LINCSCP_57388,VCAP,10uM,6h,NA,-0.32021163,NA,0.22565176,NA
Masitinib,LINCSCP_108965,HELA,10uM,24h,3,-0.31979274,NA,NA,NA
Nifedipine,LINCSCP_193524,A549,10uM,6h,4,-0.31963808,NA,0.26989936,NA
PD 102807,LINCSCP_27052,HT29,10uM,6h,NA,-0.31929057,NA,NA,NA
Wiskostatin,LINCSCP_18355,HCC515,10uM,6h,NA,-0.31878549,NA,NA,NA
MLS001065837,LINCSCP_291864,VCAP,10uM,24h,NA,-0.31821965,NA,NA,NA
SCHEMBL16980224,LINCSCP_20517,HCC515,10uM,6h,NA,-0.31766087,NA,NA,NA
FK888,LINCSCP_44157,PC3,10uM,6h,NA,-0.3170958,NA,NA,NA
BRD-K63158888,LINCSCP_3721,A375,10uM,24h,NA,-0.31680926,NA,NA,NA
Metergoline Phenylmethyl Ester,LINCSCP_44671,PC3,10uM,24h,NA,-0.31664868,NA,NA,NA
BI-2536,LINCSCP_81436,A549,10uM,24h,2,-0.3158336,NA,NA,NA
Saracatinib,LINCSCP_69380,A375,10uM,24h,3,-0.31565931,NA,NA,NA
ABT737,LINCSCP_112341,HEPG2,10uM,24h,NA,-0.31552637,0.2663386,0.24514249,NA
"376348-65-1, Uk-427857, uk427857",LINCSCP_15160,HA1E,10uM,24h,NA,-0.31544712,NA,0.23632246,NA
GR-103691,LINCSCP_335,A375,10uM,24h,NA,-0.31487969,NA,NA,NA
"8-Cyclohexyl-2,3,3a,4,5,6-hexahydro-1H-pyrazino[3,2,1-jk]carbazole",LINCSCP_14991,HA1E,10uM,24h,NA,-0.31486704,NA,NA,NA
"Cis-N,N-Dimethyl-9-(3-(1-Piperazinyl)Propylidene)Thioxanthene-2-Sulfonamide",LINCSCP_5531,A549,10uM,6h,NA,-0.31463685,NA,NA,NA
GSK429286A,LINCSCP_112619,HEPG2,10uM,24h,NA,-0.31421775,NA,NA,NA
MLS002607743,LINCSCP_45749,PC3,10uM,24h,NA,-0.31376347,NA,NA,NA
Trimipramine,LINCSCP_25146,HT29,10uM,6h,4,-0.31364052,NA,NA,NA
NCGC00025073-01,LINCSCP_44205,PC3,10uM,24h,NA,-0.313582,NA,NA,-0.24253044
SA4503 (dihydrochloride),LINCSCP_80107,A375,0.04uM,24h,NA,-0.31317074,NA,NA,NA
BRD-K08251038,LINCSCP_3669,A375,10uM,24h,NA,-0.31269459,NA,NA,NA
BIX01294,LINCSCP_16282,HA1E,10uM,6h,NA,-0.31251562,NA,0.22253242,NA
BRD-K80281472,LINCSCP_60625,VCAP,5uM,24h,NA,-0.31240523,NA,0.32942638,NA
BRD-K74461819,LINCSCP_3731,A375,10uM,24h,NA,-0.31221368,NA,NA,NA
CHEMBL3185054,LINCSCP_26526,HT29,10uM,6h,NA,-0.31127683,NA,NA,NA
MK-8245,LINCSCP_71302,A375,3.33uM,24h,NA,-0.31119438,NA,NA,NA
MLS002302556,LINCSCP_221399,HEPG2,10uM,6h,NA,-0.31117787,NA,0.27804876,NA
atorvastatin,LINCSCP_56981,VCAP,10uM,24h,NA,-0.31102461,NA,NA,NA
BRD-K41335306,LINCSCP_48528,PC3,10uM,24h,NA,-0.30978468,NA,NA,-0.25416862
BRD-A43331270-001-01-6,LINCSCP_585,A375,10uM,24h,NA,-0.30958834,NA,NA,NA
TL_HRAS24,LINCSCP_26164,HT29,10uM,6h,NA,-0.30944648,NA,NA,NA
Nicergoline,LINCSCP_14942,HA1E,10uM,6h,4,-0.30920085,NA,0.20550286,NA
Fccp,LINCSCP_23354,HEPG2,3uM,24h,NA,-0.30914616,NA,0.25501481,NA
Vandetanib,LINCSCP_117199,HT29,10uM,24h,4,-0.30872985,NA,NA,-0.25789006
AK-968/11781209,LINCSCP_221479,HEPG2,3uM,24h,NA,-0.30858224,NA,0.248393,NA
BRD-K57766599,LINCSCP_304533,VCAP,5uM,24h,NA,-0.30845792,NA,0.21448191,0.25332668
Oligomycin C,LINCSCP_46146,PC3,10uM,6h,NA,-0.30841356,NA,NA,NA
BRD-K02341409,LINCSCP_60338,VCAP,5uM,24h,NA,-0.30828553,NA,NA,-0.311421
AC1OAATK,LINCSCP_211494,HA1E,10uM,6h,NA,-0.30826844,NA,0.24194248,NA
BAS 00535043,LINCSCP_26388,HT29,10uM,6h,NA,-0.30825915,NA,NA,NA
PRIMA 1,LINCSCP_40054,NCIH2073,40uM,6h,NA,-0.308054,NA,0.20177136,NA
BRD-K16172779,LINCSCP_61321,VCAP,5uM,6h,NA,-0.30701973,-0.22724541,0.30324713,0.25554524
MLS001173561,LINCSCP_14559,HA1E,10uM,6h,NA,-0.30688423,NA,NA,NA
CHEMBL2358276,LINCSCP_48588,PC3,10uM,24h,NA,-0.30658218,NA,NA,-0.21588758
Clomifene,LINCSCP_47575,PC3,10uM,24h,4,-0.30651058,NA,0.25153432,NA
SB590885,LINCSCP_116397,HT29,10uM,24h,NA,-0.30644017,NA,NA,NA
Chlorprothixene,LINCSCP_122710,HT29,10uM,24h,NA,-0.30635053,NA,NA,NA
Chlorprothixene,LINCSCP_122710,HT29,10uM,24h,NA,-0.30635053,NA,NA,NA
BRD-K95976153,LINCSCP_26452,HT29,10uM,6h,NA,-0.30568502,NA,NA,-0.2474694
BRD-K47551852,LINCSCP_28259,HT29,10uM,24h,NA,-0.30543772,NA,NA,-0.23833298
Niguldipine,LINCSCP_289728,VCAP,10uM,6h,NA,-0.30539215,NA,NA,NA
Racecadotril,LINCSCP_102600,HELA,0.37uM,24h,4,-0.30519763,NA,0.33467687,NA
NAN-190,LINCSCP_227525,HT29,10uM,6h,NA,-0.30438115,NA,NA,NA
CHEMBL2356190,LINCSCP_60377,VCAP,5uM,24h,NA,-0.30385696,NA,NA,NA
Rucaparib,LINCSCP_112492,HEPG2,3.33uM,24h,4,-0.3038434,-0.23652804,NA,NA
GF-109203,LINCSCP_53456,SKMEL28,10uM,6h,NA,-0.30384261,NA,NA,NA
Naltrindole,LINCSCP_289409,VCAP,10uM,6h,NA,-0.30381294,NA,NA,NA
BRD-K39921295,LINCSCP_193584,A549,10uM,24h,NA,-0.30360153,NA,0.27633874,NA
CID-2858522,LINCSCP_56900,VCAP,10uM,24h,NA,-0.30286237,NA,NA,NA
CHEMBL2355441,LINCSCP_228762,HT29,5uM,24h,NA,-0.30277199,NA,0.28343736,NA
MLS000106215,LINCSCP_25639,HT29,100uM,24h,NA,-0.30267437,NA,NA,-0.25663945
CTK8H3236,LINCSCP_26889,HT29,10uM,6h,NA,-0.30239243,NA,NA,NA
BCB03_000082,LINCSCP_16602,HA1E,10uM,6h,NA,-0.30136498,NA,0.26758248,NA
MLS003129716,LINCSCP_60610,VCAP,5uM,24h,NA,-0.30127083,NA,0.29298782,NA
Lovastatin,LINCSCP_43295,NPC,10uM,6h,4,-0.30028245,NA,NA,NA
Dasatinib,LINCSCP_117358,HT29,0.04uM,24h,4,-0.29978423,NA,NA,NA
Latrunculin B,LINCSCP_225861,HT29,10uM,6h,NA,-0.29921619,NA,NA,NA
XMD-1185H,LINCSCP_16760,HA1E,10uM,6h,NA,-0.29920634,NA,NA,NA
MLS000662068,LINCSCP_16776,HA1E,10uM,6h,NA,-0.29879377,NA,NA,NA
Rimcazole,LINCSCP_174407,YAPC,10uM,24h,NA,-0.29799462,NA,NA,NA
UNII-MET7ZRB8Y7,LINCSCP_290178,VCAP,10uM,24h,NA,-0.29720774,NA,NA,NA
81-78-7,LINCSCP_13209,FIBRNPC,10uM,24h,NA,-0.29701823,NA,0.24380131,NA
BRD-K86182839,LINCSCP_49038,PC3,10uM,24h,NA,-0.29641561,NA,NA,-0.24026729
WH-4-025,LINCSCP_116460,HT29,0.37uM,24h,NA,-0.29632675000000003,NA,NA,NA
ALD1-H_000967,LINCSCP_16373,HA1E,10uM,6h,NA,-0.29619481,NA,0.33297656,NA
BRD-K76938712,LINCSCP_58764,VCAP,10uM,6h,NA,-0.29611021,NA,NA,NA
5-Methylfurmethide,LINCSCP_193460,A549,10uM,6h,NA,-0.29598515,NA,0.23009228,NA
5-Nonyloxytryptamine,LINCSCP_57865,VCAP,10uM,6h,NA,-0.29588088,NA,NA,NA
BRD-K83631404,LINCSCP_48584,PC3,10uM,24h,NA,-0.29543165,NA,NA,-0.23733944
BRD-K64873832,LINCSCP_63514,VCAP,5uM,24h,NA,-0.29541068,NA,0.31806912,NA
CHEMBL2134949,LINCSCP_26412,HT29,10uM,6h,NA,-0.29521684,NA,NA,-0.23771376
YM 201636,LINCSCP_116439,HT29,10uM,24h,NA,-0.29485607,NA,NA,-0.24380621
Cediranib,LINCSCP_173250,YAPC,3.33uM,24h,3,-0.29462655,NA,NA,NA
PG 490,LINCSCP_54066,SW620,0.1uM,6h,NA,-0.29449644,NA,0.26388264,NA
Atorvastatin,LINCSCP_125980,HT29,10uM,24h,4,-0.29415412,NA,NA,NA
Amoxapine,LINCSCP_25168,HT29,10uM,6h,4,-0.29408703,NA,NA,NA
1446-61-3,LINCSCP_55824,VCAP,10uM,6h,NA,-0.29384766,NA,NA,NA
PHA-665752,LINCSCP_44423,PC3,10uM,24h,NA,-0.29380687,NA,NA,NA
PHA-665752,LINCSCP_44423,PC3,10uM,24h,NA,-0.29380687,NA,NA,NA
GSK 525762A,LINCSCP_119373,HT29,3.33uM,24h,NA,-0.29374831,NA,NA,NA
Orlistat,LINCSCP_77187,A375,1.11uM,24h,4,-0.2934709,NA,NA,NA
MLS002699921,LINCSCP_16372,HA1E,10uM,6h,NA,-0.29312579,NA,0.26844354,NA
EMD-1214063,LINCSCP_127612,HT29,10uM,24h,2,-0.29305429,NA,NA,-0.2882387
SCHEMBL6874948,LINCSCP_39037,MDAMB231,10uM,24h,NA,-0.2930431,NA,NA,NA
LRRK2-IN-1,LINCSCP_6567,A549,10uM,6h,NA,-0.29267165,NA,NA,NA
ST50591990,LINCSCP_5211,A549,10uM,6h,NA,-0.29249408,NA,0.24872087,NA
BRD-A96746500,LINCSCP_106053,HELA,10uM,24h,NA,-0.29245638,NA,0.37721057,NA
LY2228820,LINCSCP_171106,YAPC,10uM,24h,2,-0.29227245,NA,NA,NA
AEE788 (NVP-AEE788),LINCSCP_168577,YAPC,10uM,24h,2,-0.29217532,NA,NA,NA
BRD-K56865671,LINCSCP_63813,VCAP,5uM,6h,NA,-0.29201768,NA,NA,NA
BRD-K21165668,LINCSCP_211393,HA1E,10uM,6h,NA,-0.29156378,NA,0.28328091,NA
Calmidazolium,LINCSCP_26562,HT29,10uM,6h,NA,-0.29155588,NA,NA,NA
BRD-K40555995,LINCSCP_62886,VCAP,5uM,24h,NA,-0.29155156,NA,0.26915985,NA
BRD-K85236313,LINCSCP_48404,PC3,5uM,24h,NA,-0.29130121,NA,0.35090436,NA
423735-93-7,LINCSCP_13538,H1299,10uM,6h,NA,-0.29110065,NA,0.25969823,NA
STK865973,LINCSCP_221486,HEPG2,3uM,24h,NA,-0.29083794,NA,NA,NA
MLS001065839,LINCSCP_57277,VCAP,10uM,24h,NA,-0.29056228,NA,0.20894007,NA
MLS003129537,LINCSCP_298796,VCAP,5uM,24h,NA,-0.29010517,NA,0.2996914,NA
BRD-K61175124,LINCSCP_46618,PC3,10uM,6h,NA,-0.28998405,NA,NA,-0.30943954
COT-10B,LINCSCP_9569,A549,10uM,6h,NA,-0.28991305,NA,NA,NA
Methixene,LINCSCP_167198,YAPC,10uM,24h,4,-0.28979284,NA,NA,NA
Aminosalicylic acid,LINCSCP_125130,HT29,1.11uM,24h,4,-0.28972981,NA,NA,NA
ACEXAMIC ACID,LINCSCP_160463,PC3,0.37uM,24h,NA,-0.28957038,NA,0.24029331,NA
AC480 (BMS-599626),LINCSCP_156534,PC3,10uM,24h,1,-0.28936203,NA,NA,NA
Cabozantinib,LINCSCP_171734,YAPC,10uM,24h,4,-0.28930918,NA,NA,NA
Probenecid,LINCSCP_127835,HT29,3.33uM,24h,4,-0.28914318,NA,0.29195294,NA
Haloperidol,LINCSCP_172346,YAPC,10uM,24h,4,-0.28856327,NA,NA,-0.2029464
Terconazole,LINCSCP_226993,HT29,10uM,6h,4,-0.28843674,NA,NA,NA
BRD-K59488055,LINCSCP_2042,A375,10uM,6h,NA,-0.28812222,NA,NA,NA
BRD-K92036763,LINCSCP_62187,VCAP,5uM,24h,NA,-0.28809334,NA,0.32744215,NA
BRD-K11264391,LINCSCP_253865,MCF7,10uM,24h,NA,-0.28791413,NA,NA,NA
GR-127935,LINCSCP_55788,VCAP,10uM,6h,NA,-0.28790527,NA,NA,NA
BRD-K02549628,LINCSCP_48717,PC3,10uM,24h,NA,-0.28786472,NA,0.2019288,NA
Dovitinib,LINCSCP_51910,SKBR3,0.1uM,24h,3,-0.28782818,NA,0.3568369,NA
Amuvatinib,LINCSCP_116862,HT29,3.33uM,24h,2,-0.28769962,NA,0.33932345,NA
Resveratrol,LINCSCP_150138,NPC.TAK,0.37uM,24h,NA,-0.28764045,NA,NA,NA
CHEMBL2355935,LINCSCP_3531,A375,10uM,24h,NA,-0.28752194,NA,NA,NA
Chlorpromazine,LINCSCP_175418,YAPC,10uM,24h,4,-0.28734846000000003,NA,0.24739163,NA
BRD-K66975912,LINCSCP_60409,VCAP,5uM,24h,NA,-0.28656593,NA,0.23278782,NA
FGIN1-27,LINCSCP_50928,RMGI,10uM,6h,NA,-0.28654208,NA,NA,NA
NU1025,LINCSCP_722,A375,10uM,24h,NA,-0.28647234,NA,0.32108265,NA
Fluoxetine,LINCSCP_167030,YAPC,10uM,24h,4,-0.28627887,NA,NA,NA
Sufentanil,LINCSCP_103099,HELA,10uM,24h,4,-0.28592014,NA,NA,NA
COT Inhibitor-2,LINCSCP_117025,HT29,10uM,24h,NA,-0.28580749,NA,NA,NA
BRD-K88449712,LINCSCP_63046,VCAP,5uM,24h,NA,-0.28561193,NA,0.29227893,NA
MLS003129344,LINCSCP_60705,VCAP,5uM,6h,NA,-0.28510776,NA,NA,NA
Triamterene,LINCSCP_56308,VCAP,10uM,24h,4,-0.28488042,NA,0.22752065,0.20608777
Zolantidine,LINCSCP_27070,HT29,10uM,6h,NA,-0.28487826,NA,NA,NA
Bifemelane,LINCSCP_192203,A549,10uM,24h,NA,-0.28485218,NA,NA,NA
4-Hydroxytamoxifen,LINCSCP_15025,HA1E,10uM,24h,NA,-0.2845295,NA,NA,NA
U0126,LINCSCP_7713,A549,10uM,6h,NA,-0.28439178,NA,0.21905841,NA
W13,LINCSCP_14261,HA1E,10uM,6h,NA,-0.28395936,NA,NA,NA
"L 741,742",LINCSCP_284,A375,10uM,24h,NA,-0.28375367,NA,NA,NA
Triacsin C,LINCSCP_291658,VCAP,10uM,24h,NA,-0.28361679,NA,0.28125521,NA
BRD-K84702181,LINCSCP_61086,VCAP,5uM,24h,NA,-0.28349602,NA,0.28848938,NA
BRD-K08121566,LINCSCP_309976,VCAP,10uM,24h,NA,-0.28348716,NA,NA,NA
Troglitazone,LINCSCP_68817,VCAP,10uM,24h,4,-0.28346717,NA,NA,NA
BRD-A24396574-001-01-5,LINCSCP_36848,MCF7,0.5uM,6h,NA,-0.28343775,NA,NA,NA
MLS003568130,LINCSCP_1384,A375,10uM,24h,NA,-0.28342669,NA,NA,NA
Fedratinib,LINCSCP_81250,A549,10uM,24h,3,-0.28324923,NA,NA,NA
Caffeic Acid Phenethyl Ester,LINCSCP_23751,HEPG2,5uM,6h,NA,-0.28318638,NA,0.22461047,NA
Genistein,LINCSCP_13188,FIBRNPC,10uM,24h,NA,-0.28315545,NA,0.30099859,NA
Pitavastatin Calcium,LINCSCP_125478,HT29,1.11uM,24h,4,-0.28307652,NA,NA,NA
BRD-K13559922,LINCSCP_3674,A375,10uM,24h,NA,-0.28303918,NA,NA,NA
Homochlorcyclizine,LINCSCP_167582,YAPC,10uM,24h,NA,-0.28295614,NA,NA,NA
BRD-K42543304,LINCSCP_272273,PC3,10uM,6h,NA,-0.28173305,NA,NA,NA
"(8Xi,11beta,14xi,16beta)-21-Chloro-9-fluoro-11-hydroxy-16-methyl-3,20-dioxopregna-1,4-dien-17-yl propanoate",LINCSCP_117994,HT29,3.33uM,24h,NA,-0.28110378,NA,NA,NA
BRD-K39597586,LINCSCP_277892,PC3,10uM,24h,NA,-0.28071871,NA,NA,-0.24885286
Cytochalasin B,LINCSCP_29128,JHUEM2,10uM,6h,NA,-0.28068114,NA,0.21605088,NA
Cytochalasin B,LINCSCP_29128,JHUEM2,10uM,6h,NA,-0.28068114,NA,0.21605088,NA
Cytochalasin B,LINCSCP_29128,JHUEM2,10uM,6h,NA,-0.28068114,NA,0.21605088,NA
Cytochalasin B,LINCSCP_29128,JHUEM2,10uM,6h,NA,-0.28068114,NA,0.21605088,NA
GSK-1070916,LINCSCP_26640,HT29,10uM,6h,1,-0.28056468,NA,NA,NA
CHEMBL1673039,LINCSCP_235321,MCF10A,1uM,24h,NA,-0.28054103,NA,NA,NA
BRD-K93330237,LINCSCP_27627,HT29,5uM,24h,NA,-0.28046142,NA,NA,NA
ML9,LINCSCP_4406,A549,10uM,6h,NA,-0.28045369,NA,NA,NA
Rosuvastatin,LINCSCP_125272,HT29,10uM,24h,4,-0.27995362,NA,NA,NA
MLS003448143,LINCSCP_26065,HT29,10uM,6h,NA,-0.27971077,NA,NA,NA
BRD-K78122632,LINCSCP_61649,VCAP,5uM,24h,NA,-0.27944104,NA,0.30973661,NA
Amylocaine,LINCSCP_56610,VCAP,10uM,24h,NA,-0.27929572,NA,0.27035936,NA
EVP-6124 (hydrochloride),LINCSCP_174473,YAPC,10uM,24h,3,-0.27928643,NA,NA,NA
Varlitinib,LINCSCP_158523,PC3,10uM,24h,2,-0.27922582,NA,NA,NA
AC1O9I2Y,LINCSCP_46636,PC3,10uM,6h,NA,-0.27846665,NA,NA,NA
SPBIO_000926,LINCSCP_55987,VCAP,10uM,24h,NA,-0.27826831,-0.21884139,0.27644827,NA
Olaparib,LINCSCP_112958,HEPG2,1.11uM,24h,4,-0.27748818,NA,NA,NA
BRD-K64523453,LINCSCP_41062,NEU,10uM,24h,NA,-0.2772998,NA,NA,NA
BRD-K98004941,LINCSCP_26455,HT29,10uM,6h,NA,-0.27689648,NA,NA,NA
BRD-K06816133,LINCSCP_48486,PC3,10uM,24h,NA,-0.27686714,NA,NA,NA
Patupilone,LINCSCP_32051,MCF7,10uM,6h,3,-0.27658557,NA,0.22131465,NA
BRD-K63423329,LINCSCP_3722,A375,10uM,24h,NA,-0.27650819,NA,NA,NA
Risperidone,LINCSCP_211219,HA1E,10uM,6h,4,-0.27634629,NA,NA,NA
BRD-K54211867,LINCSCP_48414,PC3,5uM,24h,NA,-0.27598666,NA,0.30263951,NA
L-733060,LINCSCP_55640,VCAP,10uM,24h,NA,-0.2759842,NA,0.20686849,NA
VU0418000-1,LINCSCP_57731,VCAP,10uM,6h,NA,-0.27584577,NA,NA,NA
CHEMBL2355585,LINCSCP_8733,A549,5uM,24h,NA,-0.27548582,NA,NA,NA
BRD-K16980601,LINCSCP_63209,VCAP,5uM,24h,NA,-0.27429302,NA,0.23358237,NA
BRD-K07105437,LINCSCP_8693,A549,5uM,24h,NA,-0.27417071,NA,0.27810016,NA
Selumetinib,LINCSCP_11986,BT20,10uM,6h,3,-0.27400893,NA,NA,NA
CHEMBL2361021,LINCSCP_3690,A375,10uM,24h,NA,-0.2737786,NA,NA,NA
SA-84512,LINCSCP_23178,HEPG2,10uM,6h,NA,-0.27341625,NA,0.27446664,NA
BRD-K76512739,LINCSCP_310179,VCAP,10uM,6h,NA,-0.27337453,NA,NA,NA
BRD-K22836524,LINCSCP_65940,VCAP,10uM,24h,NA,-0.27337282,NA,NA,NA
BRD-K49098390,LINCSCP_48980,PC3,10uM,24h,NA,-0.27336774,NA,NA,NA
Bepridil,LINCSCP_214839,HCC515,10uM,6h,4,-0.27330042,NA,NA,NA
Diltiazem,LINCSCP_16953,HA1E,10uM,6h,4,-0.27301614,NA,0.34934554,NA
Benoxinate,LINCSCP_289219,VCAP,10uM,24h,4,-0.27289439,NA,NA,NA
SR-02000000238,LINCSCP_45950,PC3,10uM,24h,NA,-0.27281493,NA,NA,-0.23277087
BRD-K60996261,LINCSCP_47417,PC3,10uM,6h,NA,-0.27276058,NA,NA,NA
Cyclosporine,LINCSCP_583,A375,10uM,24h,NA,-0.27268048,NA,0.29269553,NA
Cyclosporine,LINCSCP_583,A375,10uM,24h,4,-0.27268048,NA,0.29269553,NA
BRD-K81514393,LINCSCP_47431,PC3,10uM,6h,NA,-0.27261408,NA,NA,-0.27452499
Thioproperazine,LINCSCP_47486,PC3,10uM,24h,NA,-0.27223038,NA,NA,-0.2175604
GW 405833,LINCSCP_654,A375,40uM,24h,NA,-0.27213927,NA,NA,NA
CHEMBL179288,LINCSCP_27143,HT29,10uM,6h,NA,-0.27193422,0.2419624,NA,-0.39112621
BRD-K45714982,LINCSCP_300735,VCAP,5uM,24h,NA,-0.27188316,NA,0.2911527,NA
BRD-A68202111,LINCSCP_173639,YAPC,10uM,24h,NA,-0.2717559,NA,0.24749112,NA
MLS003126519,LINCSCP_292419,VCAP,10uM,24h,NA,-0.27165824,NA,NA,NA
Ethopropazine,LINCSCP_172,A375,10uM,24h,4,-0.27143924,NA,NA,NA
BRD-K91922990,LINCSCP_61094,VCAP,5uM,24h,NA,-0.27117922,NA,0.25354556,NA
wiskostatin,LINCSCP_95208,HA1E,0.12uM,24h,NA,-0.27115225,NA,0.24317608,NA
CGP71683A,LINCSCP_2602,A375,10uM,6h,NA,-0.27114572,NA,NA,NA
SUGA2_000482,LINCSCP_58344,VCAP,10uM,24h,NA,-0.27112396,NA,NA,NA
T5820451,LINCSCP_22180,HEPG2,10uM,6h,NA,-0.27105045,NA,0.23527612,NA
MLS003587251,LINCSCP_23209,HEPG2,10uM,6h,NA,-0.27104816,NA,0.25949618,NA
"6-(7-Hydroxy-6,7-dihydro-5H-pyrrolo[1,2-c]imidazol-7-yl)-n-methyl-2-naphthamide",LINCSCP_52939,SKLU1,40uM,6h,NA,-0.27090709,NA,NA,NA
NSC409663,LINCSCP_204,A375,10uM,24h,NA,-0.27037058,NA,NA,NA
NNC 26-9100,LINCSCP_44359,PC3,10uM,24h,NA,-0.27016798,NA,NA,NA
Entinostat,LINCSCP_108685,HELA,1.11uM,24h,3,-0.27013327,NA,NA,NA
CX-5461,LINCSCP_146924,NEU,0.37uM,24h,NA,-0.27005263,NA,NA,NA
Ipsapirone,LINCSCP_291522,VCAP,10uM,6h,NA,-0.269348,NA,NA,NA
SB-202190,LINCSCP_7179,A549,10uM,6h,NA,-0.26903806,-0.23421074,0.23723724,NA
BRD-K14952621,LINCSCP_61947,VCAP,5uM,24h,NA,-0.26895196,NA,0.24600464,NA
Citalopram,LINCSCP_292715,VCAP,10uM,24h,4,-0.26821365,NA,0.25638006,NA
Reserpine,LINCSCP_2656,A375,10uM,6h,4,-0.26806631,NA,NA,NA
CHEMBL2136821,LINCSCP_59667,VCAP,5uM,24h,NA,-0.26795657,NA,0.24682907,NA
Dorsomorphin,LINCSCP_53470,SKMEL28,10uM,6h,NA,-0.26717793,NA,NA,NA
Dronedarone HCl,LINCSCP_170029,YAPC,3.33uM,24h,4,-0.26696275,NA,0.21228165,NA
BRD-K61529775,LINCSCP_26417,HT29,10uM,6h,NA,-0.26682852,NA,NA,NA
BRD-K73008154,LINCSCP_259060,NEU,10uM,24h,NA,-0.2668181,NA,0.32826096,NA
BRD-K39738296,LINCSCP_61229,VCAP,5uM,24h,NA,-0.26647749,NA,0.20949629,NA
AT 7867,LINCSCP_112240,HEPG2,0.04uM,24h,NA,-0.26637357,0.22515546,0.27260704,NA
CLIMBAZOLE,LINCSCP_170980,YAPC,10uM,24h,NA,-0.2663721,NA,NA,NA
WZ-4-145,LINCSCP_59142,VCAP,10uM,6h,NA,-0.26633895,0.20659708,NA,NA
RS-17053,LINCSCP_55836,VCAP,10uM,6h,NA,-0.26629064,NA,NA,NA
BRD-K54980807,LINCSCP_62160,VCAP,5uM,24h,NA,-0.26623679,NA,NA,NA
Elacridar,LINCSCP_169104,YAPC,10uM,24h,NA,-0.26585875,NA,NA,NA
BRD-K54916924,LINCSCP_48118,PC3,5uM,24h,NA,-0.26579253,NA,0.20844037,NA
BRD-A94793051-001-01-0,LINCSCP_34190,MCF7,10uM,6h,NA,-0.26568431,NA,0.29463041,NA
Erastin,LINCSCP_53973,SW480,5uM,6h,NA,-0.26557812,NA,0.2451541,NA
ST019366,LINCSCP_294957,VCAP,10uM,6h,NA,-0.26554398,NA,NA,NA
CHEMBL3084797,LINCSCP_223697,HT29,10uM,6h,NA,-0.26550233,NA,NA,NA
PF-04217903,LINCSCP_51903,SKBR3,0.1uM,24h,1,-0.26540373,NA,0.27499579,NA
BRD-K16434151-001-01-3,LINCSCP_63347,VCAP,5uM,24h,NA,-0.26528205,NA,NA,NA
BRD-K65160467,LINCSCP_59903,VCAP,5uM,24h,NA,-0.26516557,NA,0.2400599,NA
BRD-K29423519,LINCSCP_59749,VCAP,5uM,6h,NA,-0.26516198,NA,0.20495558,NA
Tegaserod,LINCSCP_58249,VCAP,10uM,6h,4,-0.26479768,NA,NA,NA
Mestranol,LINCSCP_211168,HA1E,10uM,6h,4,-0.26479078,NA,NA,NA
Sertindole,LINCSCP_174311,YAPC,10uM,24h,4,-0.26471629,NA,NA,NA
ENMD-2076,LINCSCP_174107,YAPC,10uM,24h,2,-0.26467208,NA,NA,NA
BRD-K23985857,LINCSCP_42969,NPC,10uM,24h,NA,-0.26466663,NA,NA,NA
BRD-K29639729,LINCSCP_59750,VCAP,5uM,6h,NA,-0.26437015,NA,0.33659516,NA
BRD-K29064493-001-01-0,LINCSCP_43313,NPC,10uM,6h,NA,-0.26424788,NA,NA,-0.3580613
Cyproheptadine,LINCSCP_101296,HELA,0.04uM,24h,4,-0.26404156,-0.22109553,0.27432062,NA
GSK-3 Inhibitor II,LINCSCP_69960,A375,10uM,24h,NA,-0.26390365,NA,NA,NA
BRD-K11624501,LINCSCP_48917,PC3,10uM,24h,NA,-0.26362674,NA,NA,-0.22811271
Sepantronium,LINCSCP_21754,HEPG2,0.5uM,6h,2,-0.26328563,NA,0.21570213,NA
