integratedMoas,Target,GeneTargets,N
Tyrosine-protein kinase SRC inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
JAK inhibitor,Fedratinib|Cucurbitacin I|Tozasertib|ZM-39923|Cucurbitacin-I|AT-9283|Ruxolitinib|CHEMBL323994,FLT3|JAK2|STAT3|ABL1|AURKA|AURKB|AURKC|BCR|NA|JAK3|JAK1|TYK2,24
ATPase inhibitor,Lanacordin|Proscillaridin A|AC1NWALC|Cymarin|PRESTWICK3_000646|AC1NWALF|Ouabain|NSC25485|SPECTRUM2_001084|Ursolic acid|Bufalin|Cymarigenen|SMP2_000249|Digitoxin|Digitoxigenin|Strophanthidin|BRD-K74133369-001-01-8|Xanthohumol|Bafilomycin A1|Dihydroouabain,ATP1A1|NA|HSD11B1|PTPN1|ATP5A1|VCP,23
Adrenergic receptor antagonist,Suloctidil|Niguldipine|Dihydroergocristine|BRD-A43331270-001-01-6|RS-17053|Vinburnine,NA|ADRA1A|CACNA1C|ADRB1|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR2A|HTR3A|HTR4|HTR5A|HTR6|HTR7,22
Serotonin transporter inhibitor,Nortriptyline|Amitriptyline|Fluoxetine|Amoxapine,KCNJ10|SLC6A2|SLC6A4|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HTR6|DRD1|DRD2|DRD3|DRD4|DRD5|HTR2A,22
Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c,Thioridazine|Trifluoperazine|Trimipramine,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C|ADRA1A|ADRA1B|ADRA1D|HRH1|SLC6A2|SLC6A3|SLC6A4,21
Tyrosine-protein kinase ABL inhibitor,KW-2449|Regorafenib,ABL1|AURKA|AURKB|FLT3|BRAF|DDR2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|PDGFRA|PDGFRB|RAF1|RET|TEK,20
Calcium channel blocker,Calmidazolium|BDBM82056|Niguldipine|Amlodipine|BRD-A43331270-001-01-6|Lacidipine|Lidoflazine|Ethaverine|Cis Lacidipine,ATP2B1|PDE1A|CACNA1C|CACNA1D|CACNA1S|ADRA1A|CACNA1F|CACNA2D1|NA,19
HMGCR inhibitor,"(3S,5R) Fluvastatin sodium salt|Pitavastatin Calcium|ZINC4521332|XUKUURHRXDUEBC-UHFFFAOYSA-N|Atorvastatin|Mevastatin|AC1OFCDP|Kolestevan|AC1MSUFC|BRD-K28026280-001-01-7|atorvastatin|Cerivastatin|Rosuvastatin|ZINC21985599|Fluvastatin",HMGCR|DPP4,18
PKC inhibitor,GF-109203|PD-407824|Midostaurin,PRKCA|NA|FLT3|KDR|KIT|PDGFRA|PDGFRB|PRKCB|PRKCD|PRKCE|PRKCG|PRKCH|PRKCI|PRKCQ|PRKCZ|PRKD1|PRKD3,18
Cyclooxygenase inhibitor,BSPBIO_001592|Oxyphenbutazone|NO-ASA|Ketorolac|Acetaminophen|23979-41-1|Phenylbutazone|Curcumin,PTGS1|PTGS2|FAAH|TRPV1,17
Abl kinase inhibitor,Nilotinib|PP 1|Bosutinib|AT-9283,ABL1|BCR|KIT|NA|CAMK2G|HCK|LYN|SRC|AURKA|AURKB|FLT3|JAK2|JAK3,16
Adrenergic receptor alpha-1 antagonist,Prazosin|Trimipramine,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD2|HRH1|HTR2A|HTR2C|SLC6A2|SLC6A3|SLC6A4,16
Discoidin domain-containing receptor 2 inhibitor,Regorafenib,ABL1|BRAF|DDR2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|PDGFRA|PDGFRB|RAF1|RET|TEK,16
Fibroblast growth factor receptor 1 inhibitor,Regorafenib,ABL1|BRAF|DDR2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|PDGFRA|PDGFRB|RAF1|RET|TEK,16
Fibroblast growth factor receptor 2 inhibitor,Regorafenib,ABL1|BRAF|DDR2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|PDGFRA|PDGFRB|RAF1|RET|TEK,16
MAP kinase p38 beta inhibitor,Regorafenib,ABL1|BRAF|DDR2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|PDGFRA|PDGFRB|RAF1|RET|TEK,16
Platelet-derived growth factor receptor inhibitor,Regorafenib,ABL1|BRAF|DDR2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|PDGFRA|PDGFRB|RAF1|RET|TEK,16
Serine/threonine-protein kinase B-raf inhibitor,Regorafenib,ABL1|BRAF|DDR2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|PDGFRA|PDGFRB|RAF1|RET|TEK,16
Serine/threonine-protein kinase RAF inhibitor,Regorafenib,ABL1|BRAF|DDR2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|PDGFRA|PDGFRB|RAF1|RET|TEK,16
Stem cell growth factor receptor inhibitor,Regorafenib,ABL1|BRAF|DDR2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|PDGFRA|PDGFRB|RAF1|RET|TEK,16
Tyrosine-protein kinase FRK inhibitor,Regorafenib,ABL1|BRAF|DDR2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|PDGFRA|PDGFRB|RAF1|RET|TEK,16
HSP inhibitor,"BRD-A24396574-001-01-5|Pifithrin MU|13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate|BRD-A80960055-001-01-7|VER 155008|Radicicol|SCHEMBL16226502|BIIB 021|PU-H-71|Geldanamycin|CCT 018159|KBIO3_000694|SCHEMBL16226068|ZINC101150009",NA|HSPA1A|TP53|HSP90AA1,15
MTOR inhibitor,NU-7026|EX-8678|SCHEMBL17052537|LY-294002|SCHEMBL6851809,PRKDC|NA|BTK|JAK3|MKNK2|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1,15
CDK expression enhancer,"Trichostatin|Trichostatin A, Streptomyces Sp.",HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8,14
ID1 expression inhibitor,"Trichostatin|Trichostatin A, Streptomyces Sp.",HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8,14
Prolactin inhibitor,Dihydroergocristine,ADRA1A|ADRB1|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR2A|HTR3A|HTR4|HTR5A|HTR6|HTR7,14
Tyrosine kinase inhibitor,SU-11652|Tivantinib|Genistein|Tyrphostin A9|NSC653260|SU 11274|Hypericin|CP-724714|Falnidamol|Tyrphostin AG 879,KDR|PDGFRB|MET|CFTR|ESR2|NA|ERBB2|EGFR|NTRK1,14
DNA dependent protein kinase inhibitor,NU-7026|NU-7441|KU0060648|LY-294002,PRKDC|PIK3CA|PIK3CB|PIK3CD|MTOR|PIK3CG|PLK1,13
FGFR inhibitor,Dovitinib|PD-173074,EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB,13
Estrogen receptor antagonist,"Y-134|4-Hydroxytamoxifen|Enclomiphene|Toremifene|13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol|ZK 164015|Zuclomiphene|BAS 02002358|2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine",ESR1|ESR2|NA|GPER1,12
Histamine H1 receptor antagonist,Astemizole|Trimipramine,HRH1|KCNH2|ADRA1A|ADRA1B|ADRA1D|DRD2|HTR2A|HTR2C|SLC6A2|SLC6A3|SLC6A4,12
Protein kinase inhibitor,AEG 3482|SCHEMBL3958507|Rottlerin|MLN-8054|AT-9283|AC1L1JM9,NA|COQ8B|EGFR|AURKA|ABL1|AURKB|FLT3|JAK2|JAK3,12
Topoisomerase inhibitor,"BRD-A24396574-001-01-5|BRD-A80960055-001-01-7|Camptothecin|4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione|AC1Q6JJ5|Teniposide|(+)-Camptothecin|N-[4-(Acridin-9-ylmethyl)-3-methoxyphenyl]methanesulfonamide|AC1MJ3VH|C23H24CLN3O5|Topotecan",NA|TOP1|TOP2A|TOP1MT,12
AKT inhibitor,AKT Inhibitor IV|pyrvinium-pamoate|MK-2206|AKT Inhibitor VIII|C21H27N7O3,AKT1|AR|AKT2|AKT3|PRKCQ,11
BCL inhibitor,Gossypol|TW 37|Obatoclax|Z36|ABT737,BCL2|BCL2L1|MCL1|NA|BCL2L2,11
Calcineurin inhibitor,INCA-6|Cyclosporin A|Cyclosporine|SMP2_000081|Tacrolimus,NFATC1|PPIA|PPP3CA|FKBP1A,11
Dopamine D2 receptor antagonist,Perphenazine|Trimipramine,DRD2|ADRA1A|ADRA1B|ADRA1D|HRH1|HTR2A|HTR2C|SLC6A2|SLC6A3|SLC6A4,11
Ribonucleotide reductase inhibitor,Gemcitabine|Cytarabine,POLA1|POLD1|POLE|RRM1|RRM2|RRM2B|POLB,10
CDK inhibitor,GF-109203|RO-3306|Seliciclib|N9-Isopropylolomoucine,PRKCA|CDK1|CDK2|CDK5|CDK7|CDK9,9
Cytochrome P450 inhibitor,Itrazole|Resveratrol|Dexamethasone Acetate|Myricetin|Androstenedione,NA|PTGS1|PTGS2|SIRT1|NR3C1|PIK3CG|AKR1C3|HSD17B1|HSD3B1,9
Glucocorticoid receptor agonist,BRD-A69951442-001-01-3|AC1NWAQV|Dexamethasone Acetate|SPECTRUM_000403|AC1O8PYD|NCGC00179649-07|Dexamethasone 21-acetate|AC1NSZCT|SPECTRUM_000224,NR3C1|NA,9
IKK inhibitor,Withaferin A|IMD-0354|Withaferin-A|IKK Inhibitor VII|BMS-345541|BX-795,IKBKB|NAMPT|PDK1|PDPK1,9
P38 MAPK inhibitor,SKF 86002|SB-202190|TAK-715|Doramapimod|SB-203580,NA|MAPK14|MAPK11|MAPK12|MAPK1,9
Serotonin receptor agonist,5-Nonyloxytryptamine|Aripiprazole|Mosapride,NA|DRD2|HRH1|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR4,9
Glutamate receptor antagonist,BRD-K29064493-001-01-0|CHEMBL41721|6266-99-5|Dizocilpine,NA|CNR1|CNR2|GRIN1|GRM5|GRIN2A|GRIN2B,8
Phosphodiesterase inhibitor,CHEMBL1172402|LY-294002,NA|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC,8
Retinoid receptor agonist,CHEMBL1434137|O-Demethylated Adapalene|Adapalene|Fenretinide|AM-580|CBIOL_001848,RARG|RARA|RARB,8
Sodium/potassium-transporting ATPase inhibitor,Digoxin,ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|FXYD2,8
Src inhibitor,PP 1|Bosutinib|Aminogenistein,NA|ABL1|BCR|CAMK2G|HCK|LYN|SRC|LCK,8
